wkt_geom,id,building_id,level,age,access_point,time,comment,function,population
LINESTRING(30.318019 59.970557;30.318034 59.970747;30.318862 59.970720;30.318863 59.970763;30.318978 59.970760;30.318972 59.970714;30.319092 59.970709;30.318920 59.970344;30.318626 59.970360;30.318712 59.970540;30.318259 59.970569;30.318251 59.970534;30.318019 59.970557;30.318019 59.970557),120,14,2,2,32,1,med college,education,1
LINESTRING(30.318019 59.970557;30.318034 59.970747;30.318862 59.970720;30.318863 59.970763;30.318978 59.970760;30.318972 59.970714;30.319092 59.970709;30.318920 59.970344;30.318626 59.970360;30.318712 59.970540;30.318259 59.970569;30.318251 59.970534;30.318019 59.970557;30.318019 59.970557),121,14,3,2,32,1,med college,education,1
LINESTRING(30.318019 59.970557;30.318034 59.970747;30.318862 59.970720;30.318863 59.970763;30.318978 59.970760;30.318972 59.970714;30.319092 59.970709;30.318920 59.970344;30.318626 59.970360;30.318712 59.970540;30.318259 59.970569;30.318251 59.970534;30.318019 59.970557;30.318019 59.970557),122,14,4,2,32,1,med college,education,1
LINESTRING(30.318019 59.970557;30.318034 59.970747;30.318862 59.970720;30.318863 59.970763;30.318978 59.970760;30.318972 59.970714;30.319092 59.970709;30.318920 59.970344;30.318626 59.970360;30.318712 59.970540;30.318259 59.970569;30.318251 59.970534;30.318019 59.970557;30.318019 59.970557),123,14,5,2,32,1,med college,education,1
LINESTRING(30.318019 59.970557;30.318034 59.970747;30.318862 59.970720;30.318863 59.970763;30.318978 59.970760;30.318972 59.970714;30.319092 59.970709;30.318920 59.970344;30.318626 59.970360;30.318712 59.970540;30.318259 59.970569;30.318251 59.970534;30.318019 59.970557;30.318019 59.970557),124,14,6,2,32,1,med college,education,1
LINESTRING(30.318374 59.970004;30.318528 59.970366;30.318920 59.970344;30.318714 59.969976;30.318374 59.970004;30.318374 59.970004),132,15,7,3,33,1,proektnii institut,production,1
LINESTRING(30.318374 59.970004;30.318528 59.970366;30.318920 59.970344;30.318714 59.969976;30.318374 59.970004;30.318374 59.970004),126,15,1,3,33,1,proektnii institut,production,1
LINESTRING(30.318374 59.970004;30.318528 59.970366;30.318920 59.970344;30.318714 59.969976;30.318374 59.970004;30.318374 59.970004),127,15,2,3,33,1,proektnii institut,production,1
LINESTRING(30.318374 59.970004;30.318528 59.970366;30.318920 59.970344;30.318714 59.969976;30.318374 59.970004;30.318374 59.970004),128,15,3,3,33,1,proektnii institut,production,1
LINESTRING(30.318374 59.970004;30.318528 59.970366;30.318920 59.970344;30.318714 59.969976;30.318374 59.970004;30.318374 59.970004),129,15,4,3,33,1,proektnii institut,production,1
LINESTRING(30.318374 59.970004;30.318528 59.970366;30.318920 59.970344;30.318714 59.969976;30.318374 59.970004;30.318374 59.970004),130,15,5,3,33,1,proektnii institut,production,1
LINESTRING(30.318374 59.970004;30.318528 59.970366;30.318920 59.970344;30.318714 59.969976;30.318374 59.970004;30.318374 59.970004),131,15,6,3,33,1,proektnii institut,production,1
LINESTRING(30.318714 59.969976;30.318666 59.969891;30.317805 59.969984;30.317943 59.970302;30.318168 59.970284;30.318163 59.970325;30.318330 59.970308;30.318358 59.970304;30.318197 59.970020;30.318374 59.970004;30.318714 59.969976;30.318714 59.969976),139,15,7,3,33,1,government,office,1
LINESTRING(30.318714 59.969976;30.318666 59.969891;30.317805 59.969984;30.317943 59.970302;30.318168 59.970284;30.318163 59.970325;30.318330 59.970308;30.318358 59.970304;30.318197 59.970020;30.318374 59.970004;30.318714 59.969976;30.318714 59.969976),133,15,1,3,33,1,government,office,1
LINESTRING(30.318714 59.969976;30.318666 59.969891;30.317805 59.969984;30.317943 59.970302;30.318168 59.970284;30.318163 59.970325;30.318330 59.970308;30.318358 59.970304;30.318197 59.970020;30.318374 59.970004;30.318714 59.969976;30.318714 59.969976),134,15,2,3,33,1,government,office,1
LINESTRING(30.318714 59.969976;30.318666 59.969891;30.317805 59.969984;30.317943 59.970302;30.318168 59.970284;30.318163 59.970325;30.318330 59.970308;30.318358 59.970304;30.318197 59.970020;30.318374 59.970004;30.318714 59.969976;30.318714 59.969976),135,15,3,3,33,1,government,office,1
LINESTRING(30.318714 59.969976;30.318666 59.969891;30.317805 59.969984;30.317943 59.970302;30.318168 59.970284;30.318163 59.970325;30.318330 59.970308;30.318358 59.970304;30.318197 59.970020;30.318374 59.970004;30.318714 59.969976;30.318714 59.969976),136,15,4,3,33,1,government,office,1
LINESTRING(30.318714 59.969976;30.318666 59.969891;30.317805 59.969984;30.317943 59.970302;30.318168 59.970284;30.318163 59.970325;30.318330 59.970308;30.318358 59.970304;30.318197 59.970020;30.318374 59.970004;30.318714 59.969976;30.318714 59.969976),137,15,5,3,33,1,government,office,1
LINESTRING(30.318714 59.969976;30.318666 59.969891;30.317805 59.969984;30.317943 59.970302;30.318168 59.970284;30.318163 59.970325;30.318330 59.970308;30.318358 59.970304;30.318197 59.970020;30.318374 59.970004;30.318714 59.969976;30.318714 59.969976),138,15,6,3,33,1,government,office,1
LINESTRING(30.315597 59.968220;30.315551 59.968128;30.315344 59.968154;30.315326 59.968118;30.314841 59.968178;30.315087 59.968671;30.315310 59.968643;30.315261 59.968544;30.315210 59.968551;30.315078 59.968285;30.315597 59.968220),73,7,1,2,35,1,colledge1st fl,education,2
LINESTRING(30.315597 59.968220;30.315551 59.968128;30.315344 59.968154;30.315326 59.968118;30.314841 59.968178;30.315087 59.968671;30.315310 59.968643;30.315261 59.968544;30.315210 59.968551;30.315078 59.968285;30.315597 59.968220),83,7,2,2,35,1,colledge2nd fl,education,2
LINESTRING(30.315597 59.968220;30.315551 59.968128;30.315344 59.968154;30.315326 59.968118;30.314841 59.968178;30.315087 59.968671;30.315310 59.968643;30.315261 59.968544;30.315210 59.968551;30.315078 59.968285;30.315597 59.968220),86,7,3,2,35,1,colledge3rd fl,education,2
LINESTRING(30.315597 59.968220;30.315551 59.968128;30.315344 59.968154;30.315326 59.968118;30.314841 59.968178;30.315087 59.968671;30.315310 59.968643;30.315261 59.968544;30.315210 59.968551;30.315078 59.968285;30.315597 59.968220),4,7,4,2,35,1,colledge4th fl,education,2
LINESTRING(30.317561 59.969911;30.318233 59.969851;30.318264 59.969925;30.317590 59.969990;30.317561 59.969911;30.317561 59.969911),118,24,4,3,36,1,n/a,office,1
LINESTRING(30.317561 59.969911;30.318233 59.969851;30.318264 59.969925;30.317590 59.969990;30.317561 59.969911;30.317561 59.969911),115,24,1,3,36,1,n/a,office,1
LINESTRING(30.317561 59.969911;30.318233 59.969851;30.318264 59.969925;30.317590 59.969990;30.317561 59.969911;30.317561 59.969911),116,24,2,3,36,1,n/a,office,1
LINESTRING(30.317561 59.969911;30.318233 59.969851;30.318264 59.969925;30.317590 59.969990;30.317561 59.969911;30.317561 59.969911),117,24,3,3,36,1,n/a,office,1
LINESTRING(30.316286 59.969648;30.316744 59.969585;30.316870 59.969800;30.316817 59.969806;30.316870 59.969896;30.316963 59.969887;30.317070 59.970091;30.316932 59.970110;30.317036 59.970300;30.316694 59.970350;30.316286 59.969648;30.316286 59.969648),45,20,1,0,41,n/a,cotelnaya,empty,0
