access_point1,access_point2,dist
30,34,40534.79
30,35,1734.5588
30,36,6539.502
30,37,39177.49
30,38,20468.549
30,39,83217.39
30,41,47395.98
29,1,20409.092
29,2,15692.363
29,3,12856.161
29,4,7693.07
29,5,7965.531
29,6,7742.857
29,31,5012.9053
29,30,5052.7734
29,24,862.2965
29,23,51150.363
29,25,65043.418
29,27,63611.637
29,28,2090.1714
29,26,58333.184
29,22,13512.495
29,10,44826.9
29,11,72313.164
29,12,61854.44
29,13,70273.664
29,32,89907.984
29,33,66565.766
29,14,53438.473
29,15,49986.04
29,7,27266.164
29,8,49815.613
29,9,49627.695
29,16,70513.84
29,17,60321.777
29,18,60050.824
29,19,67778.055
29,20,60207.78
29,21,79027.54
29,34,53595.086
29,35,1544.4811
29,36,862.2965
29,37,54219.598
29,38,10128.771
29,39,65796.35
29,41,60311.957
24,1,27577.932
24,2,22693.207
24,3,19570.828
24,4,13478.948
24,5,13783.457
24,6,13504.342
24,31,9932.655
24,30,10288.902
24,29,853.50543
24,23,56073.91
24,25,64220.51
24,27,63597.914
24,28,895.58417
24,26,60351.46
24,22,9004.434
24,10,34893.58
24,11,58127.105
24,12,64633.164
24,13,72058.88
24,32,73499.32
24,33,70169.74
24,14,57824.656
24,15,54740.375
24,7,34289.016
24,8,54882.734
24,9,54691.812
24,16,71734.88
24,17,62104.164
24,18,61657.574
24,19,67591.24
24,20,61655.855
24,21,78625.79
24,34,57796.742
24,35,4598.9194
24,37,59292.164
24,38,6413.813
24,39,52546.652
24,41,63328.324
23,1,14226.963
23,2,16852.807
23,3,18584.25
23,4,22360.39
23,5,29896.395
23,6,29705.879
23,31,25198.105
23,30,28118.62
23,29,36428.094
23,24,39788.145
23,25,17992.371
23,27,16103.506
23,28,43246.723
23,26,10501.099
23,22,58200.71
23,10,82953.92
23,11,58870.03
23,12,14832.252
23,13,21567.338
23,32,44827.64
23,33,24463.357
23,14,11170.898
23,15,8778.702
23,7,10601.31
23,8,1648.0442
23,9,1024.0488
23,16,21355.186
23,17,11970.308
23,18,12064.072
23,19,19040.63
23,20,12321.207
23,21,23218.26
23,34,8891.368
23,35,30674.676
23,36,39788.145
23,37,1292.5344
23,38,54277.63
23,39,64259.066
23,41,12489.153
25,1,33354.84
25,2,38544.758
25,3,41857.06
25,4,48533.266
25,5,60398.36
25,6,60084.18
25,31,52700.754
25,30,56677.29
25,29,63920.258
25,24,65585.72
25,23,17300.846
25,27,235.00372
25,28,66707.68
25,26,2499.7053
25,22,73476.1
25,10,99641.49
25,11,78710.086
25,12,17055.654
25,13,24423.867
25,32,64631.36
25,33,42322.363
25,14,19663.184
25,15,15759.76
25,7,26515.781
25,8,17403.139
25,9,15917.048
25,16,13244.828
25,17,7060.7583
25,18,3868.4707
25,19,8820.464
25,20,2983.8591
25,21,12009.473
25,34,12994.177
25,35,59004.984
25,36,65585.72
25,37,20654.627
25,38,71290.98
25,39,83762.4
25,41,14962.705
27,1,32672.502
27,2,38312.902
27,3,41974.89
27,4,49490.387
27,5,63270.28
27,6,62916.465
27,31,54265.42
27,30,58975.055
27,29,67518.016
27,24,69962.875
27,23,16316.545
27,25,225.42134
27,28,71090.64
27,26,1314.2983
27,22,76497.01
27,10,94888.484
27,11,75749.31
27,12,14708.823
