access_point1,access_point2,dist
30,34,40534.79
30,35,1734.5588
30,36,6539.502
30,37,12828.448
30,38,20470.297
30,39,64302.84
30,41,47395.98
29,1,20409.092
29,2,15692.363
29,3,12856.161
29,4,7693.07
29,5,7965.531
29,6,7742.857
29,31,5012.9053
29,30,5052.7734
29,24,862.2965
29,23,5079.7886
29,25,19377.525
29,27,17950.232
29,28,2090.1714
29,26,18407.867
29,22,13513.606
29,10,44827.22
29,11,49011.2
29,12,33213.31
29,13,42491.258
29,32,66512.83
29,33,42762.08
29,14,28131.328
29,15,24542.371
29,7,28950.328
29,8,11678.517
29,9,9981.479
29,16,36809.047
29,17,26683.72
29,18,20069.846
29,19,27508.08
29,20,17085.607
29,21,31956.072
29,34,25058.633
29,35,1544.4811
29,36,862.2965
29,37,8971.465
29,38,10129.884
29,39,46789.586
29,41,29751.232
24,1,27577.932
24,2,22693.207
24,3,19570.828
24,4,13478.948
24,5,13783.457
24,6,13504.342
24,31,9932.655
24,30,10288.902
24,29,853.50543
24,23,3558.6003
24,25,12203.467
24,27,11579.73
24,28,895.58417
24,26,12191.155
24,22,9006.372
24,10,34894.234
24,11,40669.668
24,12,27321.191
24,13,35608.934
24,32,55951.88
24,33,37147.855
24,14,24096.893
24,15,20862.816
24,7,25462.234
24,8,9843.937
24,9,8241.857
24,16,26847.13
24,17,18306.092
24,18,13605.097
24,19,19331.24
24,20,11437.06
24,21,23313.021
24,34,20718.373
24,35,4598.9194
24,37,7964.0903
24,38,6415.7515
24,39,38451.438
24,41,24177.418
23,1,14226.963
23,2,16852.807
23,3,18584.25
23,4,19990.104
23,5,19650.746
23,6,19460.23
23,31,17269.578
23,30,17724.574
23,29,6026.8804
23,24,3309.541
23,25,17992.371
23,27,16103.506
23,28,7468.9556
23,26,10501.099
23,22,22224.3
23,10,43835.61
23,11,27466.828
23,12,14832.252
23,13,21567.338
23,32,41494.35
23,33,21360.389
23,14,11183.645
23,15,8778.702
23,7,10601.31
23,8,1648.0442
23,9,1024.0488
23,16,21355.186
23,17,11970.308
23,18,12064.072
23,19,19040.63
23,20,12321.207
23,21,23218.26
23,34,8891.368
23,35,11791.809
23,36,3309.541
23,37,1292.5344
23,38,18301.217
23,39,26086.73
23,41,12489.153
25,1,33354.84
25,2,38544.758
25,3,41857.06
25,4,26922.746
25,5,27382.932
25,6,27068.758
25,31,22818.041
25,30,23408.059
25,29,11204.912
25,24,9801.56
25,23,17300.846
25,27,235.00372
25,28,8735.187
25,26,2499.7053
25,22,5611.06
25,10,29413.857
25,11,22954.744
25,12,17055.654
25,13,24423.867
25,32,37063.734
25,33,33791.72
25,14,19663.184
25,15,15759.76
25,7,26515.781
25,8,17403.139
25,9,15917.048
25,16,13244.828
25,17,7060.7583
25,18,3868.4707
25,19,8820.464
25,20,2983.8591
25,21,12009.473
25,34,12994.177
25,35,16413.188
25,36,9801.56
25,37,20654.627
25,38,4320.904
25,39,21982.39
25,41,14962.705
27,1,32672.502
27,2,38312.902
27,3,41974.89
27,4,27880.7
27,5,28595.926
27,6,28242.125
27,31,23171.916
27,30,24006.572
27,29,9630.249
27,24,7769.0605
27,23,16316.545
27,25,225.42134
27,28,6213.4517
27,26,1314.2983
27,22,3730.133
27,10,24550.143
27,11,19705.516
